id,numero,sexo,total_electores,cantidad_votantes,dni_presidente,dni_suplente,circuito_id,municipio_id,departamento_id,esta_cargada,esta_incorporada,escuela_id,cantidad_sobres,asignacion1,asignacion2,carga1,carga2,ruta_imagen,cantidad_votantes2,cantidad_sobres2,cantidad_votantes3,cantidad_sobres3,fh_ruta,h_asig1,h_asig2,bue
202,1426,,350,287,0,0,47,28,6,X,X,28,287,18,35,t,t,aceptados/1426.jpg,287,287,287,287,17/11/2021 09:12:10,2021/11/17 09:12:14,2021/11/17 09:12:52,
310,1577,,350,260,0,0,58,63,7,X,X,42,260,21,25,t,t,aceptados/1577.jpg,260,260,260,260,17/11/2021 09:53:32,2021/11/17 09:53:33,2021/11/17 09:53:35,
274,1534,,348,260,0,0,53,60,7,X,X,37,260,22,42,t,t,aceptados/1534.jpg,260,260,260,260,17/11/2021 18:41:22,2021/11/17 18:41:52,2021/11/17 18:41:33,
375,1642,,350,241,0,0,58,63,7,X,X,49,241,18,21,t,t,aceptados/1642.jpg,241,241,241,241,17/11/2021 10:11:59,2021/11/17 10:12:03,2021/11/17 10:16:56,
566,2080,,351,278,0,0,92,56,13,X,X,76,278,20,22,t,t,aceptados/2080.jpg,278,278,278,278,17/11/2021 12:48:07,2021/11/17 12:48:25,2021/11/17 12:48:33,
548,1924,,350,231,0,0,76,48,10,X,X,71,231,24,21,t,t,aceptados/1924.jpg,231,231,231,231,17/11/2021 12:01:38,2021/11/17 12:01:54,2021/11/17 12:02:08,
106,1306,,347,288,0,0,34,32,4,X,X,12,288,2,32,t,t,aceptados/1306.jpg,288,288,288,288,16/11/2021 20:51:17,2021/11/16 20:57:04,2021/11/16 20:51:43,
442,1709,,349,260,0,0,62,39,8,X,X,58,260,25,22,t,t,aceptados/1709.jpg,260,260,260,260,17/11/2021 11:01:58,2021/11/17 11:01:59,2021/11/17 11:03:58,
488,1755,,347,245,0,0,62,39,8,X,X,63,245,18,22,t,t,aceptados/1755.jpg,245,245,245,245,17/11/2021 11:17:53,2021/11/17 11:18:46,2021/11/17 11:18:56,
130,1336,,352,269,0,0,40,12,5,X,X,17,269,22,25,t,t,aceptados/1336.jpg,269,269,269,269,17/11/2021 09:06:06,2021/11/17 09:07:35,2021/11/17 09:08:40,
606,2195,,350,294,0,0,107,43,15,X,X,81,294,43,31,t,t,aceptados/2195.jpg,294,294,294,294,17/11/2021 19:03:57,2021/11/17 19:04:12,2021/11/17 19:04:02,
161,1367,,352,278,0,0,40,12,5,X,X,20,278,31,25,t,t,aceptados/1367.jpg,278,278,278,278,17/11/2021 09:09:59,2021/11/17 09:10:00,2021/11/17 09:09:59,
448,1715,,349,261,0,0,62,39,8,X,X,58,261,20,17,t,t,aceptados/1715.jpg,261,261,261,261,17/11/2021 11:00:21,2021/11/17 11:00:46,2021/11/17 11:02:38,
604,2193,,350,271,0,0,107,43,15,X,X,81,271,22,21,t,t,aceptados/2193.jpg,271,271,271,271,17/11/2021 19:04:35,2021/11/17 19:05:09,2021/11/17 19:04:38,
370,1637,,350,267,0,0,58,63,7,X,X,48,267,18,21,t,t,aceptados/1637.jpg,267,267,267,267,17/11/2021 10:12:30,2021/11/17 10:13:03,2021/11/17 10:18:51,
309,1576,,349,261,0,0,58,63,7,X,X,42,261,21,25,t,t,aceptados/1576.jpg,261,261,261,261,17/11/2021 09:53:57,2021/11/17 09:53:58,2021/11/17 09:54:03,
220,1444,,350,275,0,0,47,28,6,X,X,30,275,22,25,t,t,aceptados/1444.jpg,275,275,275,275,17/11/2021 09:12:37,2021/11/17 09:12:41,2021/11/17 09:13:18,
549,1925,,287,206,0,0,76,48,10,X,X,71,206,18,21,t,t,aceptados/1925.jpg,206,206,206,206,17/11/2021 12:01:37,2021/11/17 12:01:53,2021/11/17 12:01:58,
104,1304,,347,272,0,0,34,32,4,X,X,12,272,32,32,t,t,aceptados/1304.jpg,273,273,273,273,16/11/2021 20:51:27,2021/11/16 20:57:16,2021/11/16 20:52:12,
10,1096,,349,234,0,0,26,69,2,X,X,2,234,25,17,t,t,aceptados/1096.jpg,234,234,234,234,17/11/2021 11:18:06,2021/11/17 11:19:04,2021/11/17 11:19:19,
630,2595,,351,283,0,0,161,51,23,X,X,85,283,43,42,t,t,aceptados/2595.jpg,283,283,283,283,17/11/2021 17:48:34,2021/11/17 17:49:22,2021/11/17 17:48:40,
